lat,long,year,bloom_date,bloom_doy,cat_bloom_doy,cat_bloom_doy_1_year,cat_bloom_doy_2_years,location,month,season,tmax_avg,tmax_max,tmin_avg,tmin_min,gdd_avg,prcp_avg
47.4814,7.730519,1960,1960-04-03,94,4,,,liestal,0,Winter,6.309677419,14.3,1.841935484,-3.2,4.075806452,24.80645161
47.4814,7.730519,1960,1960-04-03,94,4,,,liestal,1,Winter,3.309677419,10.1,-2.412903226,-16.6,0.4483870968,22.67741935
47.4814,7.730519,1960,1960-04-03,94,4,,,liestal,2,Winter,6.851724138,15.6,0.09655172414,-9.2,3.474137931,20.55172414
47.4814,7.730519,1960,1960-04-03,94,4,,,liestal,3,Spring,12.00322581,20.7,3.429032258,-0.1,7.716129032,17.35483871
47.4814,7.730519,1960,1960-04-03,94,4,,,liestal,4,Spring,15.55333333,23.4,4.396666667,-1.4,9.975,12.13333333
47.4814,7.730519,1960,1960-04-03,94,4,,,liestal,5,Spring,21.43548387,28.4,9,0.2,15.21774194,22.19354839
47.4814,7.730519,1960,1960-04-03,94,4,,,liestal,6,Summer,24.16666667,31,13.05,5,18.60833333,22.93333333
47.4814,7.730519,1960,1960-04-03,94,4,,,liestal,7,Summer,21.93870968,28.3,12.10967742,6,17.02419355,32.83870968
47.4814,7.730519,1960,1960-04-03,94,4,,,liestal,8,Summer,23.35806452,31.5,13.87419355,9.4,18.61612903,53.16129032
47.4814,7.730519,1960,1960-04-03,94,4,,,liestal,9,Fall,18.51,26.2,9.903333333,5.6,14.20666667,45.73333333
47.4814,7.730519,1960,1960-04-03,94,4,,,liestal,10,Fall,14.17096774,21.6,7.087096774,0.2,10.62903226,28.74193548
47.4814,7.730519,1960,1960-04-03,94,4,,,liestal,11,Fall,10.95,19.2,4.58,-1,7.765,24.1
47.4814,7.730519,1961,1961-03-20,79,0,4,,liestal,0,Winter,4.061290323,15.3,-0.3612903226,-5,1.85,15.5483871
47.4814,7.730519,1961,1961-03-20,79,0,4,,liestal,1,Winter,3.44516129,13.5,-0.7935483871,-4.2,1.325806452,23.06451613
47.4814,7.730519,1961,1961-03-20,79,0,4,,liestal,2,Winter,11.17857143,19.2,2.639285714,-0.9,6.908928571,19.21428571
47.4814,7.730519,1961,1961-03-20,79,0,4,,liestal,3,Spring,14.96451613,21.6,1.867741935,-5,8.416129032,14.5483871
47.4814,7.730519,1961,1961-03-20,79,0,4,,liestal,4,Spring,18.07,25.3,8.546666667,4.8,13.30833333,32.5
47.4814,7.730519,1961,1961-03-20,79,0,4,,liestal,5,Spring,17.86451613,27.1,8.387096774,3.5,13.12580645,23.41935484
47.4814,7.730519,1961,1961-03-20,79,0,4,,liestal,6,Summer,23.56666667,32.2,12.81,8.5,18.18833333,27.36666667
47.4814,7.730519,1961,1961-03-20,79,0,4,,liestal,7,Summer,24.36129032,33.6,12.10967742,7.5,18.23548387,37.64516129
47.4814,7.730519,1961,1961-03-20,79,0,4,,liestal,8,Summer,24.32258065,32.7,12.83870968,8,18.58064516,41.80645161
47.4814,7.730519,1961,1961-03-20,79,0,4,,liestal,9,Fall,26.08,32,13.94333333,7.2,20.01166667,15.16666667
47.4814,7.730519,1961,1961-03-20,79,0,4,,liestal,10,Fall,16.57741935,24.4,8.616129032,1.2,12.59677419,25.74193548
47.4814,7.730519,1961,1961-03-20,79,0,4,,liestal,11,Fall,7.806666667,13,2.353333333,-2.9,5.08,15.93333333
47.4814,7.730519,1962,1962-04-25,115,9,0,4,liestal,0,Winter,5.329032258,18.4,-0.3548387097,-10.6,2.487096774,36.93548387
47.4814,7.730519,1962,1962-04-25,115,9,0,4,liestal,1,Winter,5.664516129,12.3,0.8064516129,-6,3.235483871,37.83870968
47.4814,7.730519,1962,1962-04-25,115,9,0,4,liestal,2,Winter,5.135714286,10.4,-1.453571429,-9.5,1.841071429,31.21428571
47.4814,7.730519,1962,1962-04-25,115,9,0,4,liestal,3,Spring,7.193548387,16.7,-0.9935483871,-8,3.1,33
47.4814,7.730519,1962,1962-04-25,115,9,0,4,liestal,4,Spring,15.98,27.5,4.963333333,0.3,10.47166667,11.76666667
47.4814,7.730519,1962,1962-04-25,115,9,0,4,liestal,5,Spring,17.19354839,27.9,7.312903226,-2,12.25322581,29.4516129
47.4814,7.730519,1962,1962-04-25,115,9,0,4,liestal,6,Summer,23.20666667,32,10.19333333,2,16.7,9.766666667
47.4814,7.730519,1962,1962-04-25,115,9,0,4,liestal,7,Summer,24,34.5,12.38709677,6.3,18.19354839,19.70967742
47.4814,7.730519,1962,1962-04-25,115,9,0,4,liestal,8,Summer,26.87741935,34.5,13.2516129,9,20.06451613,18.06451613
47.4814,7.730519,1962,1962-04-25,115,9,0,4,liestal,9,Fall,21.07,33.6,10.57,4.1,15.82,15.73333333
47.4814,7.730519,1962,1962-04-25,115,9,0,4,liestal,10,Fall,15.79032258,24.9,6.593548387,1.2,11.19193548,2.451612903
47.4814,7.730519,1962,1962-04-25,115,9,0,4,liestal,11,Fall,5.693333333,16,0.01333333333,-6.6,2.853333333,11.4
47.4814,7.730519,1963,1963-04-24,114,9,9,0,liestal,0,Winter,0.7161290323,11,-4.406451613,-13.6,-1.84516129,31.70967742
47.4814,7.730519,1963,1963-04-24,114,9,9,0,liestal,1,Winter,-1.94516129,7,-7.780645161,-18.1,-4.862903226,12.09677419
47.4814,7.730519,1963,1963-04-24,114,9,9,0,liestal,2,Winter,0.1107142857,6.5,-6.257142857,-17.3,-3.073214286,17.42857143
47.4814,7.730519,1963,1963-04-24,114,9,9,0,liestal,3,Spring,9.429032258,14.9,1.012903226,-8.6,5.220967742,20.93548387
47.4814,7.730519,1963,1963-04-24,114,9,9,0,liestal,4,Spring,15.78333333,23,6.003333333,-0.2,10.89333333,14.2
47.4814,7.730519,1963,1963-04-24,114,9,9,0,liestal,5,Spring,18.36774194,25.5,7.925806452,1.6,13.14677419,11.35483871
47.4814,7.730519,1963,1963-04-24,114,9,9,0,liestal,6,Summer,22.26333333,30,11.99666667,8.2,17.13,53.93333333
47.4814,7.730519,1963,1963-04-24,114,9,9,0,liestal,7,Summer,25.96774194,32,13.77419355,9.4,19.87096774,17.38709677
47.4814,7.730519,1963,1963-04-24,114,9,9,0,liestal,8,Summer,22.1,31.4,13.05806452,7.6,17.57903226,41.03225806
47.4814,7.730519,1963,1963-04-24,114,9,9,0,liestal,9,Fall,20.83333333,27.1,11.69,5,16.26166667,17.2
47.4814,7.730519,1963,1963-04-24,114,9,9,0,liestal,10,Fall,14.75806452,21.6,6.587096774,-1.2,10.67258065,14.96774194
47.4814,7.730519,1963,1963-04-24,114,9,9,0,liestal,11,Fall,12.41666667,17.2,5.19,0.6,8.803333333,48.16666667
47.4814,7.730519,1964,1964-04-16,107,7,9,9,liestal,0,Winter,0.2451612903,8.7,-3.532258065,-12.5,-1.643548387,1.677419355
47.4814,7.730519,1964,1964-04-16,107,7,9,9,liestal,1,Winter,0.9032258065,5,-3.306451613,-7.8,-1.201612903,3.258064516
47.4814,7.730519,1964,1964-04-16,107,7,9,9,liestal,2,Winter,7.655172414,17.6,0.1793103448,-7,3.917241379,15.44827586
47.4814,7.730519,1964,1964-04-16,107,7,9,9,liestal,3,Spring,7.380645161,14.5,1.316129032,-4.5,4.348387097,31.80645161
47.4814,7.730519,1964,1964-04-16,107,7,9,9,liestal,4,Spring,16.52333333,25,5.823333333,1,11.17333333,18
47.4814,7.730519,1964,1964-04-16,107,7,9,9,liestal,5,Spring,21.68064516,29,9.174193548,5.3,15.42741935,44.35483871
