location,year,month,season,tmax_avg,tmax_max,tmin_avg,tmin_min,gdd_avg,prcp_avg,lat,long,alt
vancouver,1977,7,Summer,20.71483871,25,11.48387097,8,16.09935484,40.97419355,49.2237,-123.1636,24
vancouver,1977,8,Summer,23.46774194,31,13.32258065,8,18.39516129,56.5483871,49.2237,-123.1636,24
vancouver,1977,9,Fall,17.536,21.13,9.1,5,13.318,58.35,49.2237,-123.1636,24
vancouver,1977,10,Fall,14.38612903,22.25,5.096774194,1,9.741451613,37.89354839,49.2237,-123.1636,24
vancouver,1977,11,Fall,9.938,21.53,1.1,-8,5.519,72.20888889,49.2237,-123.1636,24
vancouver,1978,0,Winter,8.218387097,16.09,-0.8790322581,-6,3.669677419,61.53870968,49.2237,-123.1636,24
vancouver,1978,1,Winter,7.818064516,19.24,0.344516129,-8,4.081290323,46.08387097,49.2237,-123.1636,24
vancouver,1978,2,Winter,11.50892857,24.32,1.214285714,-3,6.361607143,41.61785714,49.2237,-123.1636,24
vancouver,1978,3,Spring,11.41322581,21.52,2.870967742,-3,7.142096774,43.03870968,49.2237,-123.1636,24
vancouver,1978,4,Spring,15.23,27.66,4.625,1,9.9275,48.51666667,49.2237,-123.1636,24
vancouver,1978,5,Spring,15.83645161,27.66,6.64516129,4,11.24080645,43.91290323,49.2237,-123.1636,24
vancouver,1978,6,Summer,20.90233333,26,11.33333333,9,16.11783333,51.36,49.2237,-123.1636,24
vancouver,1978,7,Summer,23.35322581,29,12.45612903,9,17.90467742,46.55806452,49.2237,-123.1636,24
vancouver,1978,8,Summer,22.02903226,30,12.29032258,10,17.15967742,62.06451613,49.2237,-123.1636,24
vancouver,1978,9,Fall,18.645,31.23,9.833333333,6,14.23916667,40.94666667,49.2237,-123.1636,24
vancouver,1978,10,Fall,15.4783871,24.03,5.603548387,1,10.54096774,37.24193548,49.2237,-123.1636,24
vancouver,1978,11,Fall,8.418,22.54,-0.3333333333,-7,4.042333333,63.53666667,49.2237,-123.1636,24
vancouver,1979,0,Winter,6.69516129,19.24,-1.741935484,-14,2.476612903,44.87132616,49.2237,-123.1636,24
vancouver,1979,1,Winter,5.228064516,19.24,-4.061290323,-14,0.5833870968,30.93709522,49.2237,-123.1636,24
vancouver,1979,2,Winter,9.134642857,31.18,-0.2932142857,-7,4.420714286,69.27142857,49.2237,-123.1636,24
vancouver,1979,3,Spring,12.3516129,24.33,1.967741935,-1,7.159677419,11.46451613,49.2237,-123.1636,24
vancouver,1979,4,Spring,14.812,31.23,3.995333333,0,9.403666667,24.55666667,49.2237,-123.1636,24
vancouver,1979,5,Spring,17.1,22.8,7.443225806,0.63,12.2716129,23.42903226,49.2237,-123.1636,24
vancouver,1979,6,Summer,19.475,32.76,9.749666667,7,14.61233333,12.64333333,49.2237,-123.1636,24
vancouver,1979,7,Summer,23.52935484,33.29,12.04806452,8,17.78870968,11.85806452,49.2237,-123.1636,24
vancouver,1979,8,Summer,22.65252292,32.76,11.99333921,8.081757746,17.32293106,24.22231409,49.2237,-123.1636,24
vancouver,1979,9,Fall,20.68080351,33.29,11.04239192,8,15.86159772,36.48319561,49.2237,-123.1636,24
vancouver,1979,10,Fall,14.70032258,24.32,6.8,-0.5,10.75016129,26.6516129,49.2237,-123.1636,24
vancouver,1979,11,Fall,9.638,17.65,0.6823333333,-4,5.160166667,26.82333333,49.2237,-123.1636,24
vancouver,1980,0,Winter,10.38516129,24.33,2.71483871,-2,6.55,79.41935484,49.2237,-123.1636,24
vancouver,1980,1,Winter,6.793870968,28.59,-3.200645161,-11,1.796612903,30.30537634,49.2237,-123.1636,24
vancouver,1980,2,Winter,9.789655172,20.36,2.141724138,-3,5.965689655,47.14482759,49.2237,-123.1636,24
vancouver,1980,3,Spring,10.71935484,31.31,2.100645161,-3,6.41,26.30322581,49.2237,-123.1636,24
vancouver,1980,4,Spring,15.88813684,31.23,4.670725258,1,10.27943105,29.59986228,49.2237,-123.1636,24
